Category;Title;Link
Esporte;Hortência e Tande comentam o provável fim do Ibirapuera (Governo do Estado de São Paulo);https://globoesporte.globo.com/olimpiadas/noticia/vai-deixar-saudades-hortencia-tande-e-torcedor-comentam-o-provavel-fim-do-ibirapuera.ghtml
Esporte;Fundação Palmares exclui homenagens a 6 medalhistas negros (Divulgação);https://globoesporte.globo.com/olimpiadas/noticia/fundacao-palmares-exclui-homenagens-a-atletas-negros-com-19-medalhas-paralimpicas-e-6-olimpicas.ghtml
Esporte;Mais que três pontos: crises de Bota e Fla transformam clássico de amanhã em decisão (Infoesporte);https://globoesporte.globo.com/rj/futebol/brasileirao-serie-a/noticia/mais-que-tres-pontos-crises-de-botafogo-e-flamengo-transformam-classico-em-decisao.ghtml
Esporte;Felipe Melo diz que testou negativo após ver Bolsonaro (Reprodução de internet);https://globoesporte.globo.com/futebol/times/palmeiras/noticia/felipe-melo-do-palmeiras-diz-que-testou-negativo-para-covid-apos-encontrar-bolsonaro-sem-mascara.ghtml
Esporte;"Fim de semana tem PSG em alerta e Barça embalado; destaques (Reprodução)";https://globoesporte.globo.com/futebol/futebol-internacional/noticia/psg-em-alerta-e-barcelona-empolgado-os-destaques-do-fim-de-semana-internacional.ghtml
Esporte;Lakers vão pagar quase R$ 1,5 bilhão para contratos de LeBron e Anthony Davis (Getty Images);https://globoesporte.globo.com/basquete/nba/noticia/lakers-confirmam-contrato-com-lebron-james-e-anthony-davis-ao-custo-de-quase-r-15-bilhao.ghtml
Esporte;Atualização do PES 21 traz Rivaldo e camisas novas do Timão e Galo (Reprodução);https://globoesporte.globo.com/esports/pes/noticia/pes-2021-atualizacao-traz-rivaldo-e-novas-camisas-de-corinthians-e-atletico-mg.ghtml
Esporte;"Grosjean diz que 
ficou em paz sob fogo: 'Senti que ia morrer' (Motorsport Images)";https://oglobo.globo.com/esportes/2276-formula-1-grosjean-relata-acidente-em-detalhes-meus-filhos-nao-poderiam-perder-pai-naquele-dia-24780673?utm_source=globo.com&utm_medium=oglobo
Esporte;WSL começa no Havaí cheia de mudanças e terá final mata-mata (Divulgação WSL);https://interativos.globoesporte.globo.com/radicais/surfe/mundial-de-surfe/materia/com-3-campeoes-mundiais-e-12-representantes-brasil-inicia-busca-pelo-5o-caneco-no-surfe
Entretenimento;André Gonçalves se diverte ao levar filha ao salão: 'Ela cresceu' (reprodução);https://extra.globo.com/famosos/andre-goncalves-se-diverte-ao-levar-filha-que-tem-cynthia-benini-ao-salao-ela-cresceu-24780746.html
Entretenimento;Maraisa cita perda de 5kg de gordura com corrida: 'Virou rotina' (Reprodução / Instagram);https://revistaquem.globo.com/QUEM-News/noticia/2020/12/maraisa-diz-que-perdeu-de-5kg-de-gordura-com-corrida-virou-rotina.html
Entretenimento;Aos 70, Simone diz lidar bem com corpo e sexualidade: 'Sempre' (Nana Moraes/ Divulgação);https://vogue.globo.com/celebridade/noticia/2020/12/prestes-completar-71-anos-no-dia-de-natal-simone-celebra-vida-e-carreira-aceito-idade-e-tudo-que-vem-junto-com-ela.html
Entretenimento;Bieber reage a internauta que bombardeia sua mulher com comentários sobre Selena;https://revistamonet.globo.com/Celebridades/noticia/2020/12/bieber-vai-para-cima-de-internauta-que-bombardeia-sua-mulher-com-comentarios-sobre-selena-nas-redes.html
Entretenimento;Ex-BBB Flávia Viana celebra alta do filho de 2 meses de hospital (Reprodução/Instagram);https://revistaquem.globo.com/QUEM-News/noticia/2020/12/flavia-viana-celebra-alta-de-filho-de-2-meses-de-hospital-continuaremos-o-tratamento.html
Entretenimento;Fernanda Lima diz que começou a falar sobre sexo no programa (GNT);https://gnt.globo.com/programas/prazer-feminino/noticia/fernanda-lima-e-uma-das-convidadas-da-serie-prazer-feminino.ghtml
Entretenimento;17ª temporada de 'Grey's' emociona fãs ao trazer de volta outro personagem da série;https://revistamonet.globo.com/Series/noticia/2020/12/greys-anatomy-traz-de-volta-outro-personagem-querido-e-fas-se-emocionam-nas-redes.html
Entretenimento;Maria Maya nega término com Larissa: 'Casamento de alma' (Reprodução/Instagram);https://gshow.globo.com/Famosos/noticia/maria-maya-fala-de-relacao-com-larissa-ayres-estamos-juntas-como-casal-mae-amigas-e-parceiras-de-arte-e-vida.ghtml
Entretenimento;Ex-atriz mirim de 'Sonho Meu' hoje tem rotina com alunos (TV Globo / Reprodução);https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2020/12/hoje-educadora-carolina-pavanelli-de-sonho-meu-conta-qual-e-reacao-dos-alunos-ao-descobrirem-seu-passado-como-atriz.html?utm_source=globo.com&utm_medium=oglobo
Entretenimento;Astro diz que não usa as redes para não brigar com estranhos (YouTube);https://revistamonet.globo.com/Celebridades/noticia/2020/12/astro-de-harry-potter-diz-que-decidiu-nao-ter-perfil-nas-redes-sociais-para-nao-brigar-com-estranhos-todos-os-dias.html
Tecnologia;"Top de linha Samsung já tem oferta de R$ 1 mil; compare (Divulgação/Samsung)";https://www.techtudo.com.br/noticias/2020/12/lg-velvet-vs-galaxy-s20-fe-compare-preco-e-ficha-tecnica.ghtml
Tecnologia;Celular mais caro do Brasil: veja se vale o investimento (Divulgação/Samsung);https://www.techtudo.com.br/listas/2020/12/galaxy-z-fold-2-em-detalhes-ficha-tecnica-preco-pros-e-contras.ghtml
